ID,Label,Definition,PROMOT Cross-reference,Associated Phenotype (URI),Associated Phenotype (label),Assesses Phenotype (URI),Assesses Phenotype (label),Assesses Function (URI),Assesses Function (label),Captures Data About (URI),Captures Data About (label),Associated Function (URI),Associated Function (label),Involved In (URI),Involved In (label),Located In (URI),Located In (label)
ID,LABEL,A IAO:0000115,A oboInOwl:hasDbXref,A <urn:local:nmdo_annotations:associated_phenotype>^^xsd:anyURI SPLIT=|,A <urn:local:nmdo_annotations:associated_phenotype_label> SPLIT=|,A <urn:local:nmdo_annotations:assesses_phenotype>^^xsd:anyURI SPLIT=|,A <urn:local:nmdo_annotations:assesses_phenotype_label> SPLIT=|,A <urn:local:nmdo_annotations:assesses_function>^^xsd:anyURI SPLIT=|,A <urn:local:nmdo_annotations:assesses_function_label> SPLIT=|,A <urn:local:nmdo_annotations:captures_data_about>^^xsd:anyURI SPLIT=|,A <urn:local:nmdo_annotations:captures_data_about_label> SPLIT=|,A <urn:local:nmdo_annotations:associated_function>^^xsd:anyURI SPLIT=|,A <urn:local:nmdo_annotations:associated_function_label> SPLIT=|,A <urn:local:nmdo_annotations:involved_in>^^xsd:anyURI SPLIT=|,A <urn:local:nmdo_annotations:involved_in_label> SPLIT=|,A <urn:local:nmdo_annotations:located_in>^^xsd:anyURI SPLIT=|,A <urn:local:nmdo_annotations:located_in_label> SPLIT=|
http://purl.obolibrary.org/obo/HP_0012531,Pain,,http://id.who.int/icd/entity/203515404,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000948,Heart,,http://id.who.int/icd/entity/834607195,"","","","","","","","",http://id.who.int/icd/entity/1399000785|http://id.who.int/icd/entity/1780196241|http://id.who.int/icd/entity/2100545361,Contraction force of ventricular muscles|Heart rhythm|Heart rate,"","","",""
http://purl.obolibrary.org/obo/MONDO_0021140,Congenital,Age catefory corresponding to birth.,http://purl.obolibrary.org/obo/PROMOT_0010032,"","","","","","","","","","","","","",""
